Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2021-12-11,12:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Wolves,3.5,0.1,71,52613.0,İlkay Gündoğan,4-3-3,Jonathan Moss,Match Report,,23,8,15.7,0.0,1,1,1,0,0,0,711.0,804.0,12285.0,3722.0,19.0,14.0,44.0,1.0,11.0,8,9.0,888.0,21.0,92.0,436.0,364.0,9.0,18.0,700.0,3,0,0,12,4,1,0.0,0.0,0
2021-12-14,20:00,Premier League,Matchweek 17,Tue,Home,W,7,0,Leeds United,3.2,0.3,63,52401.0,Rúben Dias,4-2-3-1,Paul Tierney,Match Report,,31,15,17.3,2.0,0,0,3,0,0,0,577.0,640.0,9769.0,2921.0,8.0,6.0,52.0,10.0,12.0,5,13.0,751.0,50.0,152.0,373.0,237.0,17.0,31.0,567.0,1,0,0,5,9,1,0.0,0.0,0
2021-12-19,14:15,Premier League,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,2.9,0.4,71,52127.0,Rúben Dias,4-2-3-1,Martin Atkinson,Match Report,,18,7,12.9,0.0,0,0,1,0,0,0,670.0,742.0,10709.0,2962.0,15.0,6.0,37.0,8.0,21.0,10,3.0,829.0,58.0,196.0,475.0,163.0,11.0,18.0,664.0,2,0,0,6,8,2,0.0,0.0,0
2021-12-26,15:00,Premier League,Matchweek 19,Sun,Home,W,6,3,Leicester City,3.9,2.4,72,53226.0,Fernandinho,4-3-3,Chris Kavanagh,Match Report,,15,6,17.5,1.0,2,2,8,0,0,0,722.0,785.0,11431.0,2871.0,18.0,14.0,27.0,9.0,7.0,3,5.0,849.0,30.0,117.0,511.0,224.0,16.0,23.0,714.0,1,0,0,11,9,2,2.0,0.0,0
2021-12-29,20:15,Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,1.0,0.6,76,17009.0,Fernandinho,4-3-3,David Coote,Match Report,,12,3,19.8,0.0,0,0,2,0,0,0,664.0,769.0,10282.0,2691.0,26.0,5.0,21.0,2.0,11.0,4,7.0,841.0,32.0,128.0,405.0,311.0,7.0,12.0,658.0,0,0,0,10,12,3,0.0,0.0,0
2022-01-01,12:30,Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,2.2,0.9,71,59757.0,Rúben Dias,4-2-3-1,Stuart Attwell,Match Report,,14,1,18.7,0.0,1,1,2,0,0,0,591.0,673.0,9646.0,2904.0,12.0,5.0,29.0,3.0,14.0,7,2.0,772.0,77.0,228.0,340.0,209.0,10.0,18.0,584.0,2,0,0,5,12,2,1.0,0.0,0
2022-01-07,20:00,FA Cup,Third round proper,Fri,Away,W,4,1,Swindon Town,,,77,14753.0,İlkay Gündoğan,4-3-3,Darren England,Match Report,,23,9,,,0,1,3,0,0,0,,,,,,,,,,8,,,,,,,,,,3,0,0,9,5,3,,,0
2022-01-15,12:30,Premier League,Matchweek 22,Sat,Home,W,1,0,Chelsea,0.9,0.4,56,53319.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,11,6,16.5,1.0,0,0,1,0,0,0,527.0,625.0,9258.0,2418.0,20.0,9.0,21.0,2.0,8.0,5,9.0,696.0,39.0,164.0,350.0,190.0,16.0,25.0,515.0,0,0,0,11,6,3,0.0,0.0,0
2022-01-22,17:30,Premier League,Matchweek 23,Sat,Away,D,1,1,Southampton,1.9,0.7,74,31178.0,Rúben Dias,4-3-3,Simon Hooper,Match Report,,20,5,17.5,0.0,0,0,3,0,0,0,725.0,839.0,12301.0,3661.0,15.0,11.0,39.0,2.0,21.0,10,11.0,931.0,30.0,172.0,405.0,363.0,15.0,27.0,718.0,0,0,0,5,13,0,0.0,0.0,0
2022-02-05,15:00,FA Cup,Fourth round proper,Sat,Home,W,4,1,Fulham,,,61,53400.0,Fernandinho,4-3-3,Jarred Gillett,Match Report,,19,6,,,1,1,3,0,0,0,,,,,,,,,,9,,,,,,,,,,1,0,0,9,6,3,,,0
