,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
28,2017-12-27,19:45,Premier League,Matchweek 20,Wed,Away,W,1,0,Newcastle Utd,1.8,0.2,77,52311,Vincent Kompany,4-3-3,Andre Marriner,Match Report,,21,6,17.3,0.0,0,0,1,0,0,0,761.0,865.0,12044.0,3167.0,19.0,8.0,35.0,2.0,15.0,9,11.0,954.0,28.0,142.0,568.0,252.0,13.0,17.0,754.0,0,0,0,6,9,4,0.0,0.0,0
29,2017-12-31,12:00,Premier League,Matchweek 21,Sun,Away,D,0,0,Crystal Palace,1.3,1.3,74,25804,Fernandinho,4-3-3,Jonathan Moss,Match Report,,15,4,21.3,4.0,0,0,1,0,1,0,576.0,673.0,9908.0,2902.0,18.0,8.0,26.0,0.0,14.0,11,12.0,786.0,52.0,204.0,332.0,258.0,14.0,19.0,570.0,4,0,0,11,14,2,0.0,1.0,0
30,2018-01-02,20:00,Premier League,Matchweek 22,Tue,Home,W,3,1,Watford,2.1,1.0,76,53556,David Silva,4-3-3,Lee Mason,Match Report,,18,7,14.9,2.0,0,0,4,0,0,0,810.0,899.0,12498.0,3835.0,20.0,9.0,34.0,4.0,14.0,7,10.0,987.0,47.0,206.0,523.0,266.0,16.0,27.0,806.0,1,0,0,8,12,1,0.0,0.0,0
31,2018-01-06,15:00,FA Cup,Third round,Sat,Home,W,4,1,Burnley,,,77,53356,David Silva,4-3-3,Graham Scott,Match Report,,20,5,,,0,0,2,0,0,0,,,,,,,,,,11,,,,,,,,,,1,0,0,8,11,3,,,0
32,2018-01-09,19:45,EFL Cup,Semi-finals,Tue,Home,W,2,1,Bristol City,,,68,43426,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,Leg 1 of 2,26,6,,,0,0,2,1,0,0,,,,,,,,,,7,,,,,,,,,,0,0,0,8,7,0,0.0,1.0,0
33,2018-01-14,16:00,Premier League,Matchweek 23,Sun,Away,L,3,4,Liverpool,0.8,0.8,64,53285,Fernandinho,4-3-3,Andre Marriner,Match Report,,11,4,19.0,0.0,0,0,7,0,0,0,602.0,714.0,10032.0,3389.0,20.0,6.0,21.0,5.0,24.0,11,9.0,822.0,80.0,285.0,402.0,140.0,20.0,28.0,598.0,3,0,0,7,10,3,0.0,0.0,0
34,2018-01-20,17:30,Premier League,Matchweek 24,Sat,Home,W,3,1,Newcastle Utd,2.1,1.0,80,54452,David Silva,4-3-3,Paul Tierney,Match Report,,20,8,18.2,1.0,1,1,4,0,0,0,754.0,862.0,12046.0,3347.0,22.0,18.0,41.0,6.0,23.0,9,9.0,962.0,48.0,158.0,407.0,403.0,22.0,28.0,749.0,0,0,0,5,10,4,1.0,0.0,0
35,2018-01-23,19:45,EFL Cup,Semi-finals,Tue,Away,W,3,2,Bristol City,,,68,26003,David Silva,4-3-3,Graham Scott,Match Report,Leg 2 of 2; Manchester City won,28,6,,,0,0,4,0,0,0,,,,,,,,,,3,,,,,,,,,,2,0,0,9,6,3,0.0,0.0,0
36,2018-01-28,16:00,FA Cup,Fourth round,Sun,Away,W,2,0,Cardiff City,,,77,32339,Vincent Kompany,4-3-3,Lee Mason,Match Report,,17,7,,,0,0,2,0,0,0,,,,,,,,,,10,,,,,,,,,,1,0,0,12,13,3,,,0
37,2018-01-31,20:00,Premier League,Matchweek 25,Wed,Home,W,3,0,West Brom,2.3,0.2,73,53241,David Silva,4-3-3,Robert Madley,Match Report,,19,10,18.5,2.0,0,0,1,0,0,0,631.0,736.0,10153.0,2943.0,18.0,9.0,34.0,6.0,16.0,13,11.0,819.0,25.0,135.0,398.0,292.0,13.0,20.0,619.0,1,0,0,10,10,0,0.0,0.0,0
38,2018-02-03,12:30,Premier League,Matchweek 26,Sat,Away,D,1,1,Burnley,1.8,0.9,70,21658,Vincent Kompany,4-3-3,Martin Atkinson,Match Report,,20,7,18.8,1.0,0,0,3,0,0,0,625.0,733.0,10962.0,3280.0,20.0,13.0,35.0,2.0,13.0,6,11.0,840.0,74.0,273.0,317.0,253.0,7.0,11.0,617.0,1,0,0,6,8,0,0.0,0.0,0
39,2018-02-10,17:30,Premier League,Matchweek 27,Sat,Home,W,5,1,Leicester City,2.5,0.1,70,54416,Fernandinho,4-3-3,Mike Jones,Match Report,,19,10,16.1,0.0,0,0,2,0,0,0,642.0,750.0,10375.0,3216.0,24.0,8.0,33.0,9.0,11.0,8,9.0,847.0,22.0,135.0,429.0,290.0,18.0,25.0,634.0,2,0,0,10,12,1,0.0,0.0,0
40,2018-02-13,20:45,Champions Lg,Round of 16,Tue,Away,W,4,0,ch Basel,0.7,1.0,73,36000,Vincent Kompany,4-3-3,Jonas Eriksson,Match Report,Leg 1 of 2,12,7,20.9,0.0,0,0,3,0,0,0,805.0,903.0,13023.0,3658.0,18.0,6.0,22.0,7.0,21.0,15,11.0,1007.0,57.0,214.0,610.0,195.0,25.0,38.0,798.0,2,0,0,5,9,3,0.0,0.0,0
41,2018-02-19,19:55,FA Cup,Fifth round,Mon,Away,L,0,1,Wigan Athletic,,,82,19242,David Silva,4-3-3,Anthony Taylor,Match Report,,29,5,,,0,0,2,0,0,0,,,,,,,,,,8,,,,,,,,,,0,1,0,6,10,2,,,0
42,2018-02-25,16:30,EFL Cup,Final,Sun,Away,W,3,0,Arsenal,,,57,85671,Vincent Kompany,4-2-3-1,Craig Pawson,Match Report,,12,3,,,0,0,2,0,0,0,,,,,,,,,,10,,,,,,,,,,2,0,0,10,13,2,0.0,0.0,0
43,2018-03-01,19:45,Premier League,Matchweek 28,Thu,Away,W,3,0,Arsenal,1.5,1.3,54,58420,Vincent Kompany,4-3-3,Andre Marriner,Match Report,,9,5,15.5,0.0,0,0,5,0,1,0,584.0,687.0,9393.0,3106.0,26.0,1.0,14.0,6.0,11.0,5,12.0,799.0,69.0,295.0,392.0,126.0,21.0,28.0,576.0,1,0,0,11,11,1,0.0,1.0,0
44,2018-03-04,16:00,Premier League,Matchweek 29,Sun,Home,W,1,0,Chelsea,0.9,0.1,71,54328,David Silva,4-3-3,Michael Oliver,Match Report,,13,2,16.7,0.0,0,0,0,0,0,0,927.0,1018.0,14277.0,3592.0,17.0,5.0,25.0,2.0,11.0,8,6.0,1090.0,30.0,101.0,729.0,274.0,20.0,21.0,923.0,2,0,0,8,8,2,0.0,0.0,0
45,2018-03-07,19:45,Champions Lg,Round of 16,Wed,Home,L,1,2,ch Basel,1.6,0.6,77,49411,Yaya Touré,4-3-3,Pavel Královec,Match Report,Leg 2 of 2; Manchester City won,7,3,13.8,0.0,0,0,3,0,0,0,998.0,1092.0,15321.0,3863.0,14.0,5.0,14.0,2.0,17.0,11,5.0,1166.0,51.0,183.0,797.0,196.0,18.0,23.0,994.0,1,0,0,5,11,3,0.0,0.0,0
46,2018-03-12,20:00,Premier League,Matchweek 30,Mon,Away,W,2,0,Stoke City,1.6,0.4,76,29138,Vincent Kompany,4-3-3,Jonathan Moss,Match Report,,17,6,17.7,0.0,0,0,0,0,0,0,781.0,882.0,12903.0,3391.0,20.0,10.0,33.0,4.0,16.0,11,6.0,968.0,44.0,182.0,557.0,236.0,10.0,17.0,775.0,0,0,0,8,6,4,0.0,0.0,0
47,2018-03-31,17:30,Premier League,Matchweek 32,Sat,Away,W,3,1,Everton,1.5,0.9,81,39221,Vincent Kompany,3-5-2,Paul Tierney,Match Report,,18,4,20.2,0.0,0,0,2,0,0,0,923.0,1009.0,13861.0,4044.0,14.0,11.0,35.0,6.0,8.0,6,5.0,1084.0,55.0,262.0,545.0,282.0,9.0,17.0,917.0,0,0,0,8,10,3,0.0,0.0,0
48,2018-04-04,19:45,Champions Lg,Quarter-finals,Wed,Away,L,0,3,eng Liverpool,0.6,1.6,66,50685,Vincent Kompany,4-2-3-1,Felix Brych,Match Report,Leg 1 of 2,11,0,19.7,0.0,0,0,5,0,0,0,669.0,802.0,10698.0,2980.0,30.0,8.0,22.0,0.0,21.0,16,6.0,917.0,47.0,181.0,501.0,239.0,15.0,21.0,660.0,4,0,0,10,6,4,0.0,0.0,0
49,2018-04-07,17:30,Premier League,Matchweek 33,Sat,Home,L,2,3,Manchester Utd,2.6,1.1,64,54259,Vincent Kompany,4-3-3,Martin Atkinson,Match Report,,20,6,16.9,1.0,0,0,4,0,0,0,549.0,642.0,9177.0,2871.0,23.0,8.0,37.0,3.0,11.0,6,11.0,725.0,49.0,179.0,382.0,174.0,11.0,14.0,540.0,6,0,0,17,8,0,0.0,0.0,0
50,2018-04-10,19:45,Champions Lg,Quarter-finals,Tue,Home,L,1,2,eng Liverpool,1.2,0.8,69,53461,David Silva,3-4-3◆,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won,20,3,21.3,0.0,0,0,3,0,0,0,590.0,731.0,9379.0,2750.0,35.0,9.0,38.0,2.0,15.0,6,4.0,823.0,39.0,170.0,347.0,318.0,18.0,27.0,588.0,2,0,0,5,7,8,0.0,0.0,0
51,2018-04-14,19:45,Premier League,Matchweek 34,Sat,Away,W,3,1,Tottenham,2.9,0.4,52,80811,Vincent Kompany,4-3-3,Jonathan Moss,Match Report,,16,5,18.0,2.0,1,1,3,0,0,0,453.0,552.0,8347.0,3023.0,18.0,7.0,30.0,5.0,14.0,9,11.0,667.0,93.0,281.0,286.0,108.0,13.0,21.0,448.0,4,0,0,12,11,1,1.0,0.0,0
52,2018-04-22,16:30,Premier League,Matchweek 35,Sun,Home,W,5,0,Swansea City,3.2,0.3,82,54387,Vincent Kompany,4-3-3,Craig Pawson,Match Report,,18,11,16.7,1.0,0,1,1,0,0,0,957.0,1050.0,14575.0,4105.0,10.0,5.0,33.0,6.0,14.0,10,1.0,1118.0,30.0,163.0,653.0,306.0,16.0,19.0,956.0,0,0,0,6,7,4,1.0,0.0,0
53,2018-04-29,14:15,Premier League,Matchweek 36,Sun,Away,W,4,1,West Ham,2.4,0.2,74,56904,Fernandinho,4-3-3,Niel Swarbrick,Match Report,,19,7,19.2,1.0,0,0,1,0,0,0,828.0,908.0,12831.0,3913.0,15.0,7.0,34.0,6.0,15.0,11,11.0,1014.0,37.0,163.0,575.0,286.0,13.0,27.0,825.0,1,0,0,11,4,1,0.0,0.0,0
54,2018-05-06,13:30,Premier League,Matchweek 37,Sun,Home,D,0,0,Huddersfield,0.8,0.2,78,54350,David Silva,4-3-3,Mike Dean,Match Report,,15,2,19.3,0.0,0,0,3,0,0,0,681.0,803.0,12011.0,3351.0,37.0,10.0,29.0,0.0,14.0,12,8.0,881.0,42.0,170.0,378.0,338.0,7.0,13.0,673.0,0,0,0,9,4,1,0.0,0.0,0
55,2018-05-09,20:00,Premier League,Matchweek 31,Wed,Home,W,3,1,Brighton,1.6,1.2,73,54013,Yaya Touré,4-3-3,Paul Tierney,Match Report,,19,7,19.3,1.0,0,0,3,0,0,0,811.0,893.0,12170.0,3447.0,21.0,4.0,36.0,6.0,14.0,12,2.0,972.0,31.0,113.0,560.0,307.0,15.0,23.0,807.0,0,0,0,5,7,1,0.0,0.0,0
56,2018-05-13,15:00,Premier League,Matchweek 38,Sun,Away,W,1,0,Southampton,0.8,0.5,69,31882,Fernandinho,4-3-3,Andre Marriner,Match Report,,13,2,21.2,1.0,0,0,2,0,0,0,534.0,642.0,8987.0,2619.0,20.0,12.0,26.0,2.0,13.0,9,11.0,741.0,54.0,186.0,322.0,238.0,14.0,28.0,530.0,2,0,0,10,8,2,0.0,0.0,0
